Date,Close,High,Low,Open,Volume
,GC=F,GC=F,GC=F,GC=F,GC=F
2024-01-02,2064.39990234375,2073.699951171875,2057.10009765625,2063.5,61
2024-01-03,2034.199951171875,2044.0,2034.199951171875,2034.199951171875,54
2024-01-04,2042.300048828125,2044.5,2038.0,2041.5999755859375,88
2024-01-05,2042.4000244140625,2048.10009765625,2042.4000244140625,2044.5,12
2024-01-08,2026.5999755859375,2033.699951171875,2019.0999755859375,2019.0999755859375,10
2024-01-09,2026.4000244140625,2035.800048828125,2026.4000244140625,2035.800048828125,27
2024-01-10,2021.699951171875,2035.5999755859375,2021.699951171875,2029.0,538
2024-01-11,2014.300048828125,2025.0999755859375,2014.300048828125,2025.0999755859375,97
2024-01-12,2046.699951171875,2057.0,2031.0999755859375,2031.0999755859375,390
2024-01-16,2026.0,2054.800048828125,2026.0,2051.699951171875,46
2024-01-17,2002.5999755859375,2026.5,2002.5999755859375,2026.5,764
2024-01-18,2018.5999755859375,2018.5999755859375,2009.5,2012.800048828125,1474
2024-01-19,2026.5,2036.0,2019.5,2023.199951171875,50
2024-01-22,2019.800048828125,2021.300048828125,2019.800048828125,2021.300048828125,12
2024-01-23,2023.699951171875,2030.300048828125,2022.5,2030.300048828125,15
2024-01-24,2013.9000244140625,2033.199951171875,2013.9000244140625,2023.199951171875,253
2024-01-25,2016.9000244140625,2022.4000244140625,2012.0999755859375,2012.0999755859375,548
2024-01-26,2016.800048828125,2022.4000244140625,2016.800048828125,2021.699951171875,49
2024-01-29,2025.199951171875,2025.199951171875,2025.199951171875,2025.199951171875,150708
2024-01-30,2031.5,2048.5,2028.0999755859375,2032.5,26907
